發生時間,發生地點,postcode,死亡受傷人數,車種,經度,緯度
108年07月08日 17時55分00秒,臺北市士林區承德路5段 / 臺北市士林區士商路,111,死亡0;受傷2,普通重型-機車;普通重型-機車,121.514155,25.096106
108年07月08日 17時57分00秒,臺北市北投區其他,112,死亡0;受傷1,普通重型-機車;自用-小客車,121.509427,25.112752
108年07月08日 18時00分00秒,臺北市內湖區麗山街 / 臺北市內湖區麗山街,114,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.58023,25.08147
108年07月08日 18時15分00秒,臺北市內湖區成功路5段420巷前0.0公尺,114,死亡0;受傷1,自用-小客車;普通重型-機車,121.60683,25.07443
108年07月08日 18時20分00秒,臺北市大安區基隆路2段前0.0公尺,106,死亡0;受傷2,普通重型-機車;普通重型-機車,121.549172,25.021457
108年07月08日 18時23分00秒,臺北市文山區興隆路3段 / 臺北市文山區興隆路3段,116,死亡0;受傷1,自用-小客車;普通重型-機車,121.558311,24.997491
108年07月08日 18時28分00秒,臺北市內湖區康樂街 / 臺北市內湖區康樂街,114,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通輕型-機車,121.61830400000001,25.068426000000002
108年07月08日 18時31分00秒,臺北市士林區芝玉路1段195號前0.0公尺,111,死亡0;受傷1,自用-小客車;普通重型-機車,121.53363,25.107616
108年07月08日 18時40分00秒,臺北市文山區羅斯福路5段 / 臺北市文山區羅斯福路5段,116,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,121.538605,25.003565
108年07月08日 19時00分00秒,臺北市大同區重慶北路3段335巷56-1號前0.0公尺,103,死亡0;受傷1,行人-人,121.515593,25.074536
108年07月08日 19時10分00秒,臺北市內湖區成功路2段410號前0.0公尺,114,死亡0;受傷2,普通重型-機車;普通重型-機車,121.5898,25.071
108年07月08日 19時13分00秒,臺北市北投區尊賢街 / 臺北市北投區無名巷,112,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,121.50623700000001,25.116751
108年07月08日 19時25分00秒,臺北市中山區其他,104,死亡0;受傷2,普通重型-機車;普通重型-機車,121.52715500000001,25.059133
108年07月08日 19時25分00秒,臺北市文山區萬安街 / 臺北市文山區萬安街,116,死亡0;受傷1,計程車-小客車;普通重型-機車,121.570508,25.001039000000002
108年07月08日 20時08分00秒,臺北市中正區汀州路3段 / 臺北市中正區基隆路4段,100,死亡0;受傷2,普通重型-機車;普通重型-機車,121.536271,25.011003
108年07月08日 20時24分00秒,臺北市信義區永吉路 / 臺北市信義區永吉路,110,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通輕型-機車,121.5688,25.045709
108年07月08日 21時14分00秒,臺北市中山區錦州街 / 臺北市中山區錦州街,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.52351599999999,25.060333
108年07月08日 21時38分00秒,臺北市中山區市民大道3段 / 臺北市中山區八德路2段,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.53481799999999,25.045053
108年07月08日 21時40分00秒,臺北市中山區植福路832號前0.0公尺,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.558074,25.083949
108年07月08日 21時50分00秒,臺北市士林區福林路 / 臺北市士林區雨農路,111,死亡0;受傷3,大型重型2(250-550C.C.)-機車;普通重型-機車;乘客-人,121.53218000000001,25.096604
108年07月08日 22時02分00秒,臺北市中正區杭州南路1段63號前0.0公尺,100,死亡0;受傷1,普通重型-機車;自用-小客車,121.525742,25.040226
108年07月08日 22時13分00秒,臺北市中山區吉林路 / 臺北市中山區松江路,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.530101,25.052957
108年07月08日 22時20分00秒,臺北市文山區辛亥路4段 / 臺北市文山區萬美街2段,116,死亡0;受傷2,普通重型-機車;普通重型-機車,121.55806299999999,25.006088000000002
108年07月08日 22時35分00秒,臺北市內湖區成功路2段 / 臺北市內湖區成功路2段,114,死亡0;受傷1,計程車-小客車;普通重型-機車,121.590374,25.069796
108年07月08日 22時46分00秒,臺北市內湖區東湖路 / 臺北市內湖區東湖路,114,死亡0;受傷1,自用-小客車;普通重型-機車,121.614019,25.068786
108年07月08日 23時45分00秒,臺北市中正區中正橋前0.0公尺,100,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.51652800000001,25.021960999999997
108年07月09日 00時05分00秒,臺北市信義區福德街 / 臺北市信義區大道路,110,死亡0;受傷1,自用-小客車;行人-人,121.58376100000001,25.038064000000002
